2313	1338	2312
1392	1338	2313
905	1990	1843
1843	1990	387
387	295	1843
1811	695	1983
1983	386	1811
386	389	1811
188	1601	189
189	1601	2607
1597	1976	2629
1801	1481	1075
1075	1076	1801
816	1648	1395
1395	293	1651
1486	1648	817
817	647	1486
817	1648	816
1997	858	1998
392	1997	378
1997	1998	378
2504	1644	1643
913	2659	914
857	858	1997
2647	1350	1349
389	1838	388
387	1990	388
903	702	2504
2504	902	903
903	1838	702
901	2659	913
901	902	2659
1842	902	901
1812	900	696
702	1838	1645
1645	389	1812
1645	1838	389
1812	696	1645
1645	696	563
1841	295	1842
390	295	1841
913	914	1841
392	391	1849
915	701	1849
2315	1334	1439
1439	2667	2315
662	2556	661
2556	511	661
2556	2658	1371
2401	79	2400
2400	1371	2401
2402	1371	2400
2556	1371	1368
1368	1371	2402
2402	2302	1368
666	1612	665
666	1441	1612
2401	1371	1370
1370	1371	2658
545	2556	662
545	2658	2556
662	1442	545
381	380	1486
1612	376	381
381	1485	380
1634	1284	1482
1861	354	2016
1440	1439	2319
2667	1439	1440
85	86	2247
2247	2317	85
2322	1858	1493
1113	2014	1862
1114	1113	1862
1862	1863	1114
1114	1863	677
1856	1855	885
2251	2252	1352
1409	2252	2250
406	314	1913
2421	2422	2
1917	325	1711
734	2418	1404
2420	730	1404
1404	730	734
126	2227	2256
2256	2227	1356
1281	1687	1527
1518	1526	1281
282	2169	285
2053	570	2054
1913	314	2054
1913	2054	729
729	2054	570
570	2501	729
1678	166	2553
166	2554	2553
2502	1710	246
1516	2424	1518
168	171	1518
1518	2424	168
168	1517	171
1523	1516	2513
2424	1516	1523
1523	199	2424
1523	1408	198
198	199	1523
952	1693	1524
1695	1530	929
1898	313	1695
930	1530	1694
1694	717	930
929	1530	930
934	1408	1316
1408	1523	1316
1897	942	1704
402	1704	413
402	1897	1704
2427	949	1909
979	975	2427
1908	1909	2514
721	1910	1705
1115	1910	721
2514	1115	721
721	2650	2514
1116	1115	2514
1907	2650	2257
2257	1531	1907
2257	523	1697
1697	1531	2257
1704	942	718
1409	1410	2651
947	1699	1700
1705	315	2047
411	2047	315
1699	2047	411
946	1699	947
947	2257	946
945	2047	946
946	2047	1699
946	2650	945
946	2257	2650
1528	1343	2431
2431	2662	1528
620	2258	791
620	520	2258
1389	2643	2258
2326	115	2327
2327	1389	2326
2326	1389	2260
1387	1389	2258
2260	1389	1387
1387	2259	2260
1059	1831	1060
1831	1630	1060
1475	1389	2327
2643	1389	1475
791	2258	790
2258	2643	790
1047	2169	763
1527	398	397
1694	404	405
405	400	1831
1344	2263	2262
2261	2263	1631
2342	1528	1529
1529	1528	2662
634	2232	635
101	2345	100
100	2345	2344
2356	2345	101
768	769	1827
1469	1628	2344
2344	2345	1469
93	2517	92
92	2517	2516
2518	890	2660
95	96	2352
2353	95	2352
